source,destination,greedy_success,greedy_hops,greedy_reason,greedy_path,dijkstra_success,dijkstra_hops,dijkstra_delay_ms,dijkstra_path
1077,876,False,50,maximum hops reached,1077 -> 356 -> 357 -> 307 -> 268 -> 176 -> 185 -> 113 -> 344 -> 188 -> 343 -> 889 -> 435 -> 1026 -> 192 -> 999 -> 37 -> 788 -> 196 -> 732 -> 218 -> 140 -> 493 -> 599 -> 314 -> 529 -> 940 -> 397 -> 834 -> 417 -> 514 -> 258 -> 500 -> 870 -> 222 -> 613 -> 47 -> 538 -> 852 -> 10 -> 767 -> 388 -> 1015 -> 376 -> 634 -> 740 -> 501 -> 1049 -> 373 -> 886 -> 312,True,4,14.113756324926143,1077 -> 388 -> 871 -> 356 -> 876
949,1008,False,0,no reachable relay,949,True,2,6.4307393058916436,949 -> 140 -> 1008
1092,945,True,3,reached destination,1092 -> 377 -> 439 -> 945,True,3,26.387184353214295,1092 -> 100 -> 102 -> 945
1050,920,False,0,no reachable relay,1050,True,2,11.454972936240594,1050 -> 501 -> 920
913,1012,False,0,no reachable relay,913,True,9,48.64635889155229,913 -> 684 -> 685 -> 737 -> 738 -> 739 -> 740 -> 1087 -> 356 -> 1012
1016,896,False,0,no reachable relay,1016,True,5,19.126150085135478,1016 -> 560 -> 830 -> 783 -> 788 -> 896
891,1020,True,2,reached destination,891 -> 288 -> 1020,True,2,4.210397916571288,891 -> 135 -> 1020
1053,882,False,0,no reachable relay,1053,True,2,7.679906648017401,1053 -> 402 -> 882
1043,1001,False,6,no reachable relay,1043 -> 146 -> 346 -> 59 -> 330 -> 355 -> 150,True,8,39.54381788773404,1043 -> 13 -> 985 -> 484 -> 719 -> 651 -> 974 -> 59 -> 1001
989,1062,False,0,no reachable relay,989,True,2,4.028959985580458,989 -> 761 -> 1062
900,882,False,0,no reachable relay,900,True,2,4.65269494196693,900 -> 190 -> 882
1016,879,False,0,no reachable relay,1016,True,10,52.08413842730917,1016 -> 541 -> 658 -> 861 -> 320 -> 1030 -> 261 -> 226 -> 1083 -> 311 -> 879
981,1090,False,0,no reachable relay,981,True,7,32.55334958698276,981 -> 789 -> 1060 -> 804 -> 988 -> 499 -> 661 -> 1090
1103,894,False,0,no reachable relay,1103,True,5,34.9435797867543,1103 -> 113 -> 1032 -> 544 -> 735 -> 894
1054,902,False,0,no reachable relay,1054,True,4,26.32083102627969,1054 -> 728 -> 820 -> 659 -> 902
